work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,work_type,company_location,company_size
2020,MI,FT,Data Scientist,79833,Germany,On-site,Germany,L
2020,SE,FT,Machine Learning Scientist,260000,Japan,On-site,Japan,S
2020,SE,FT,Big Data Engineer,109024,Great Britain,Partially Remote,Great Britain,M
2020,MI,FT,Product Data Analyst,20000,Honduras,On-site,Honduras,S
2020,SE,FT,Machine Learning Engineer,150000,United States,Partially Remote,United States,L
2020,EN,FT,Data Analyst,72000,United States,Remote,United States,L
2020,SE,FT,Lead Data Scientist,190000,United States,Remote,United States,S
2020,MI,FT,Data Scientist,35735,Hungary,Partially Remote,Hungary,L
2020,MI,FT,Business Data Analyst,135000,United States,Remote,United States,L
2020,SE,FT,Lead Data Engineer,125000,New Zealand,Partially Remote,New Zealand,S
2020,EN,FT,Data Scientist,51321,France,On-site,France,S
2020,MI,FT,Data Scientist,40481,India,On-site,India,L
2020,EN,FT,Data Scientist,39916,France,On-site,France,M
2020,MI,FT,Lead Data Analyst,87000,United States,Remote,United States,L
2020,MI,FT,Data Analyst,85000,United States,Remote,United States,L
2020,MI,FT,Data Analyst,8000,Pakistan,Partially Remote,Pakistan,L
2020,EN,FT,Data Engineer,41689,Japan,Remote,Japan,S
2020,SE,FT,Big Data Engineer,114047,Poland,Remote,Great Britain,S
2020,EN,FT,Data Science Consultant,5707,India,Partially Remote,India,M
2020,MI,FT,Lead Data Engineer,56000,Portugal,Remote,United States,M
2020,MI,FT,Machine Learning Engineer,43331,China,On-site,China,M
2020,MI,FT,Product Data Analyst,6072,India,Remote,India,L
2020,SE,FT,Data Engineer,47899,Greece,Partially Remote,Greece,L
2020,MI,FT,BI Data Analyst,98000,United States,On-site,United States,M
2020,MI,FT,Lead Data Scientist,115000,United Arab Emirates,On-site,United Arab Emirates,L
2020,EX,FT,Director of Data Science,325000,United States,Remote,United States,L
2020,EN,FT,Research Scientist,42000,Netherlands,Partially Remote,Netherlands,L
2020,SE,FT,Data Engineer,33511,Mexico,On-site,Mexico,S
2020,EN,CT,Business Data Analyst,100000,United States,Remote,United States,L
2020,SE,FT,Machine Learning Manager,117104,Canada,Partially Remote,Canada,L
2020,MI,FT,Data Engineering Manager,59303,Germany,Remote,Germany,S
2020,EN,FT,Big Data Engineer,70000,United States,Remote,United States,L
2020,SE,FT,Data Scientist,68428,Greece,Remote,United States,L
2020,MI,FT,Research Scientist,450000,United States,On-site,United States,M
2020,MI,FT,Data Analyst,46759,France,Partially Remote,France,L
2020,MI,FT,Data Engineer,74130,Austria,Partially Remote,Austria,L
2020,MI,FT,Data Science Consultant,103000,United States,Remote,United States,L
2020,EN,FT,Machine Learning Engineer,250000,United States,Partially Remote,United States,L
2020,EN,FT,Data Analyst,10000,Nigeria,Remote,Nigeria,S
2020,EN,FT,Machine Learning Engineer,138000,United States,Remote,United States,S
2020,MI,FT,Data Scientist,45760,Philippines,Remote,United States,S
2020,EX,FT,Data Engineering Manager,79833,Spain,Partially Remote,Spain,L
2020,MI,FT,Machine Learning Infrastructure Engineer,50180,Portugal,On-site,Portugal,M
2020,MI,FT,Data Engineer,106000,United States,Remote,United States,L
2020,MI,FT,Data Engineer,112872,Great Britain,Partially Remote,Great Britain,L
2020,EN,PT,ML Engineer,15966,Germany,Remote,Germany,S
2020,MI,FT,Data Scientist,76958,Great Britain,Remote,Great Britain,S
2020,SE,FT,Data Engineer,188000,United States,Remote,United States,L
2020,MI,FT,Data Scientist,105000,United States,Remote,United States,L
2020,MI,FT,Data Engineer,70139,France,Partially Remote,France,L
2020,EN,FT,Data Analyst,6072,India,On-site,India,S
2020,EN,FT,Data Analyst,91000,United States,Remote,United States,L
2020,EN,FT,AI Scientist,45896,Denmark,Partially Remote,Denmark,S
2020,EN,FT,Data Engineer,54742,Pakistan,Remote,Germany,L
2020,SE,FL,Computer Vision Engineer,60000,Russian Federation,Remote,United States,S
2020,SE,FT,Principal Data Scientist,148261,Germany,Remote,Germany,M
2020,MI,FT,Data Scientist,38776,Spain,Remote,Spain,M
2020,MI,FT,Data Scientist,118000,United States,Remote,United States,M
2020,SE,FT,Data Scientist,120000,United States,Partially Remote,United States,L
2020,MI,FT,Data Scientist,138350,United States,Remote,United States,M
2020,MI,FT,Data Engineer,110000,United States,Remote,United States,L
2020,MI,FT,Data Engineer,130800,Spain,Remote,United States,M
2020,EN,PT,Data Scientist,21669,Italy,Partially Remote,Italy,S
2020,SE,FT,Data Scientist,412000,United States,Remote,United States,L
2020,SE,FT,Machine Learning Engineer,45618,Croatia,Remote,Croatia,S
2020,EN,FT,Data Scientist,62726,Germany,Partially Remote,Germany,S
2020,EN,FT,Data Scientist,49268,Germany,On-site,Germany,S
2020,SE,FT,Data Science Manager,190200,United States,Remote,United States,M
2020,EN,FT,Data Scientist,105000,United States,Remote,United States,S
2020,SE,FT,Data Scientist,91237,Austria,On-site,Austria,S
2020,MI,FT,Data Scientist,62726,France,Partially Remote,Luxembourg,S
2020,MI,FT,Data Scientist,42197,France,Partially Remote,France,S
2021,EN,FT,Research Scientist,82528,Great Britain,Partially Remote,Great Britain,L
2021,EX,FT,BI Data Analyst,150000,India,Remote,United States,L
2021,EX,FT,Head of Data,235000,United States,Remote,United States,L
2021,SE,FT,Data Scientist,53192,France,Partially Remote,France,L
2021,MI,FT,BI Data Analyst,100000,United States,Remote,United States,M
2021,MI,PT,3D Computer Vision Researcher,5409,India,Partially Remote,India,M
2021,MI,CT,ML Engineer,270000,United States,Remote,United States,L
2021,EN,FT,Data Analyst,80000,United States,Remote,United States,M
2021,SE,FT,Data Analytics Engineer,79197,Germany,Remote,Germany,L
2021,MI,FT,Data Engineer,140000,United States,Remote,United States,L
2021,MI,FT,Applied Data Scientist,54238,Great Britain,Partially Remote,Canada,L
2021,MI,FT,Machine Learning Engineer,47282,Spain,Remote,Spain,S
2021,EX,FT,Director of Data Science,153667,Italy,Remote,Poland,L
2021,MI,FT,Data Engineer,28476,Poland,Remote,Poland,L
2021,EN,FT,Data Analyst,59102,France,Partially Remote,France,M
2021,MI,FT,Data Analytics Engineer,110000,United States,Remote,United States,L
2021,SE,FT,Lead Data Analyst,170000,United States,Remote,United States,L
2021,SE,FT,Data Analyst,80000,Bulgaria,Remote,United States,S
2021,SE,FT,Marketing Data Analyst,88654,Greece,Remote,Denmark,L
2021,EN,FT,Data Science Consultant,76833,Germany,Remote,Germany,S
2021,MI,FT,Lead Data Analyst,19609,India,Remote,India,L
2021,SE,FT,Lead Data Engineer,276000,United States,On-site,United States,L
2021,EN,FT,Data Scientist,29751,India,Partially Remote,India,L
2021,MI,FT,Cloud Data Engineer,89294,Singapore,Partially Remote,Singapore,L
2021,EN,PT,AI Scientist,12000,Brazil,Remote,United States,S
2021,MI,FT,Financial Data Analyst,450000,United States,Remote,United States,L
2021,EN,FT,Computer Vision Software Engineer,70000,United States,Remote,United States,M
2021,MI,FT,Computer Vision Software Engineer,95746,Germany,Remote,United States,S
2021,MI,FT,Data Analyst,75000,United States,On-site,United States,L
2021,SE,FT,Data Engineer,150000,United States,Remote,United States,L
2021,MI,FT,BI Data Analyst,36259,Hungary,Partially Remote,United States,L
2021,MI,FT,Data Analyst,62000,United States,On-site,United States,L
2021,MI,FT,Data Scientist,73000,United States,On-site,United States,L
2021,MI,FT,Data Analyst,51519,Great Britain,Partially Remote,Great Britain,L
2021,MI,FT,Research Scientist,187442,Canada,Remote,Canada,L
2021,SE,FT,Data Engineer,115000,United States,Remote,United States,S
2021,SE,FT,Data Engineer,150000,United States,Remote,United States,M
2021,EN,FT,Data Engineer,30428,India,Remote,India,L
2021,SE,FT,Machine Learning Engineer,94564,Germany,Partially Remote,Germany,L
2021,SE,FT,Director of Data Engineering,113476,Great Britain,Remote,Great Britain,M
2021,SE,FT,Lead Data Engineer,103160,Great Britain,Remote,Great Britain,S
2021,EN,PT,AI Scientist,12000,Pakistan,Remote,United States,M
2021,MI,FT,Data Engineer,45391,Netherlands,Remote,Netherlands,L
2021,EN,FT,Machine Learning Scientist,225000,United States,Remote,United States,L
2021,MI,FT,Data Scientist,50000,Nigeria,Remote,Nigeria,L
2021,MI,FT,Data Science Engineer,40189,Greece,Remote,Greece,M
2021,EN,FT,Data Analyst,90000,United States,Remote,United States,S
2021,MI,FT,Data Engineer,200000,United States,Remote,United States,L
2021,MI,FT,Big Data Engineer,60000,Spain,Partially Remote,Romania,M
2021,SE,FT,Principal Data Engineer,200000,United States,Remote,United States,M
2021,EN,FT,Data Analyst,50000,United States,Remote,United States,M
2021,EN,FT,Applied Data Scientist,110037,Great Britain,On-site,Great Britain,L
2021,EN,PT,Data Analyst,10354,Spain,Partially Remote,Spain,M
2021,MI,FT,Principal Data Scientist,151000,United States,Remote,United States,L
2021,SE,FT,Machine Learning Scientist,120000,United States,Partially Remote,United States,S
2021,MI,FT,Data Scientist,9466,India,On-site,India,S
2021,EN,FT,Machine Learning Engineer,20000,India,Remote,India,S
2021,SE,FT,Lead Data Scientist,40570,India,Partially Remote,India,L
2021,EN,FT,Machine Learning Developer,100000,Iraq,Partially Remote,Iraq,S
2021,EN,FT,Data Scientist,49646,France,Partially Remote,France,M
2021,MI,FT,Applied Machine Learning Scientist,38400,Viet Nam,Remote,United States,M
2021,SE,FT,Computer Vision Engineer,24000,Brazil,Remote,Brazil,M
2021,EN,FT,Data Scientist,100000,United States,On-site,United States,S
2021,MI,FT,Data Analyst,90000,United States,Remote,United States,M
2021,MI,FT,ML Engineer,63711,Japan,Partially Remote,Japan,S
2021,MI,FT,ML Engineer,77364,Japan,Partially Remote,Japan,S
2021,SE,FT,Principal Data Scientist,220000,United States,On-site,United States,L
2021,EN,FT,Data Scientist,80000,United States,Remote,United States,M
2021,MI,FT,Data Analyst,135000,United States,Remote,United States,L
2021,SE,FT,Data Science Manager,240000,United States,On-site,United States,L
2021,SE,FT,Data Engineering Manager,150000,United States,On-site,United States,L
2021,MI,FT,Data Scientist,82500,United States,Remote,United States,S
2021,MI,FT,Data Engineer,100000,United States,Remote,United States,L
2021,SE,FT,Machine Learning Engineer,82744,Belgium,Partially Remote,Belgium,M
2021,MI,FT,Research Scientist,62649,France,Partially Remote,France,M
2021,MI,FT,Data Engineer,90000,United States,Remote,United States,L
2021,SE,FT,Data Engineering Manager,153000,United States,Remote,United States,L
2021,SE,FT,Cloud Data Engineer,160000,Brazil,Remote,United States,S
2021,SE,FT,Director of Data Science,168000,Japan,On-site,Japan,S
2021,MI,FT,Data Scientist,150000,United States,Remote,United States,M
2021,MI,FT,Data Scientist,75774,Canada,Remote,Canada,L
2021,EN,FT,Data Scientist,13400,Ukraine,Remote,Ukraine,L
2021,SE,FT,Data Science Manager,144000,United States,Remote,United States,L
2021,SE,FT,Data Science Engineer,127221,Canada,Partially Remote,Canada,L
2021,MI,FT,Data Scientist,119059,Singapore,Remote,Israel,M
2021,MI,FT,Applied Machine Learning Scientist,423000,United States,Partially Remote,United States,L
2021,SE,FT,Data Analytics Manager,120000,United States,Remote,United States,M
2021,EN,FT,Machine Learning Engineer,125000,United States,Remote,United States,S
2021,EX,FT,Head of Data,230000,Russian Federation,Partially Remote,Russian Federation,L
2021,EX,FT,Head of Data Science,85000,Russian Federation,On-site,Russian Federation,M
2021,MI,FT,Data Engineer,28369,Malta,Partially Remote,Malta,L
2021,EN,FT,Data Science Consultant,63831,Germany,Partially Remote,Germany,L
